subno,condition,goal,correct,trialno
50,1,8,9,9
50,1,10,8,10
51,-1,6,2,1
51,-1,4,1,2
51,-1,2,5,3
51,-1,4,5,4
51,-1,4,6,5
51,-1,4,8,6
51,-1,6,8,7
51,-1,6,10,8
51,-1,8,7,9
51,-1,6,9,10
52,1,2,3,1
52,1,4,4,2
52,1,4,1,3
52,1,4,4,4
52,1,6,5,5
52,1,6,7,6
52,1,6,3,7
52,1,6,3,8
52,1,6,6,9
52,1,6,6,10
53,-1,4,4,1
53,-1,4,5,2
53,-1,4,5,3
53,-1,4,6,4
53,-1,4,7,5
53,-1,6,4,6
53,-1,4,7,7
53,-1,6,4,8
53,-1,6,1,9
53,-1,4,7,10
54,1,4,8,1
54,1,8,8,2
54,1,8,8,3
54,1,8,9,4
54,1,8,8,5
54,1,8,8,6
54,1,8,8,7
54,1,8,6,8
54,1,8,9,9
54,1,8,8,10
55,-1,6,4,1
55,-1,4,7,2
55,-1,6,4,3
55,-1,6,8,4
55,-1,6,8,5
55,-1,6,7,6
55,-1,6,9,7
55,-1,6,7,8
55,-1,6,8,9
55,-1,6,9,10
56,1,4,4,1
56,1,6,4,2
56,1,6,6,3
56,1,8,5,4
56,1,8,4,5
56,1,8,7,6
56,1,8,4,7
56,1,8,8,8
56,1,10,7,9
56,1,10,6,10
57,-1,8,5,1
57,-1,6,8,2
57,-1,8,9,3
57,-1,8,7,4
57,-1,8,7,5
57,-1,6,7,6
57,-1,6,8,7
57,-1,8,10,8
57,-1,8,6,9
57,-1,6,9,10
58,1,6,2,1
58,1,4,4,2
58,1,6,4,3
58,1,4,4,4
58,1,6,4,5
58,1,4,3,6
58,1,4,10,7
58,1,10,10,8
58,1,10,8,9
58,1,10,6,10
59,-1,6,4,1
59,-1,4,7,2
59,-1,6,6,3
59,-1,6,4,4
59,-1,6,8,5
59,-1,8,9,6
59,-1,8,7,7
59,-1,8,6,8
59,-1,8,8,9
59,-1,8,8,10
60,1,2,3,1
60,1,4,7,2
60,1,6,6,3
60,1,6,4,4
60,1,6,7,5
60,1,6,6,6
60,1,6,7,7
60,1,6,6,8
60,1,6,6,9
60,1,6,6,10
