subno,condition,trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14
157,1,5,5,0,3,4,0,1,1,2,2,3,4,2,0,0
157,1,6,6,3,1,3,0,0,2,2,2,4,2,2,0,0
158,-1,2,6,4,3,1,1,0,1,1,4,4,2,5,3,1
158,-1,3,5,4,3,2,3,1,2,4,4,2,3,3,2,0
158,-1,4,5,1,3,4,3,1,1,3,4,3,4,4,1,0
158,-1,5,6,6,1,2,3,0,2,3,4,4,4,3,1,0
158,-1,6,6,2,2,4,2,0,2,3,4,5,3,3,0,0
159,1,2,6,5,3,2,2,0,2,3,5,5,4,2,1,0
159,1,3,6,4,2,1,1,0,1,0,3,2,1,5,2,0
159,1,4,5,1,3,4,0,1,1,2,2,2,4,3,0,0
159,1,5,5,1,1,3,0,1,2,2,2,0,3,2,1,0
159,1,6,6,2,2,2,1,0,2,4,3,5,3,3,0,0
160,-1,2,6,6,1,2,2,0,2,2,2,4,3,3,1,0
160,-1,3,5,1,3,3,1,1,1,2,2,2,4,3,1,0
160,-1,4,6,3,3,3,2,0,2,2,4,4,2,3,0,0
160,-1,5,6,4,1,3,0,0,1,2,1,1,2,4,2,0
160,-1,6,5,1,1,2,1,1,2,3,3,0,3,1,1,0
