subno,condition,torder,tid,time,diff,eff,wgcon,wgcom,wta,wea,correct,incorrect,goal,wfocalgpd,correctnc,incorrectnc,wtlin
103,1,7,1,180,5,5,6,8,-1,2,6,0,2,2,1,0,0
103,1,7,1,240,5,5,6,8,-1,2,9,1,2,1,3,1,1
103,1,7,1,300,5,5,10,0,-1,1,9,1,2,1,0,0,2
103,1,8,2,60,5,5,5,5,0,1,3,1,2,1,3,1,-2
103,1,8,2,120,5,5,6,8,-1,2,5,2,2,0,2,1,-1
103,1,8,2,180,5,5,6,8,-1,2,6,2,2,0,1,0,0
103,1,8,2,240,5,5,6,8,-1,2,8,2,2,0,2,0,1
103,1,8,2,300,5,5,10,0,-1,2,8,2,2,0,0,0,2
103,1,9,10,60,5,5,6,8,-1,2,4,0,2,2,4,0,-2
103,1,9,10,120,5,5,6,8,-1,2,5,0,2,2,1,0,-1
103,1,9,10,180,5,6,6,8,-1,2,6,1,2,1,1,1,0
103,1,9,10,240,5,5,6,8,-1,2,8,1,2,1,2,0,1
103,1,9,10,300,5,5,10,0,-1,2,9,1,2,1,1,0,2
103,1,10,4,60,5,5,0,0,-1,1,2,3,0,-3,2,3,-2
103,1,10,4,120,5,5,0,0,-1,-1,3,3,0,-3,1,0,-1
103,1,10,4,180,5,5,0,0,-1,-1,4,3,0,-3,1,0,0
103,1,10,4,240,5,5,0,0,-1,-1,4,3,0,-3,0,0,1
103,1,10,4,300,5,5,0,0,-1,-1,6,4,0,-4,2,1,2
103,1,11,3,60,5,5,0,0,-1,-1,2,1,0,-1,2,1,-2
103,1,11,3,120,5,5,0,0,-1,-1,5,1,0,-1,3,0,-1
103,1,11,3,180,5,5,0,0,-1,-1,8,1,0,-1,3,0,0
103,1,11,3,240,5,5,0,0,-1,-1,9,1,0,-1,1,0,1
103,1,11,3,300,5,5,0,0,-1,-1,9,1,0,-1,0,0,2
104,-1,2,4,60,7,7,6,6,2,1,1,1,6,-5,1,1,-2
104,-1,2,4,120,7,8,6,8,2,2,3,2,6,-3,2,1,-1
104,-1,2,4,180,8,8,5,8,2,1,4,3,6,-2,1,1,0
104,-1,2,4,240,7,7,5,7,1,1,5,3,6,-1,1,0,1
104,-1,2,4,300,7,7,5,6,1,1,7,3,6,1,2,0,2
104,-1,3,11,60,7,7,5,6,1,1,2,1,6,-4,2,1,-2
104,-1,3,11,120,7,7,5,6,1,1,4,2,6,-2,2,1,-1
104,-1,3,11,180,7,7,5,6,1,1,5,2,6,-1,1,0,0
104,-1,3,11,240,7,7,5,6,1,1,6,4,6,0,1,2,1
104,-1,3,11,300,7,7,5,6,2,1,6,4,6,0,0,0,2
104,-1,4,1,60,7,4,6,5,1,2,2,1,8,-6,2,1,-2
104,-1,4,1,120,7,8,5,6,2,2,3,2,8,-5,1,1,-1
104,-1,4,1,180,7,5,5,5,2,3,4,2,8,-4,1,0,0
104,-1,4,1,240,7,8,6,5,2,1,6,2,8,-2,2,0,1
104,-1,4,1,300,7,8,8,8,1,3,8,2,8,0,2,0,2
104,-1,5,2,60,8,7,5,6,1,2,3,1,8,-5,3,1,-2
104,-1,5,2,120,7,8,5,6,0,2,5,2,8,-3,2,1,-1
104,-1,5,2,180,8,7,5,6,0,1,6,2,8,-2,1,0,0
104,-1,5,2,240,7,8,7,7,2,2,8,2,8,0,2,0,1
104,-1,5,2,300,6,5,8,7,0,2,8,2,8,0,0,0,2
104,-1,6,3,60,8,7,7,5,2,1,2,2,8,-6,2,2,-2
104,-1,6,3,120,7,6,5,7,1,2,5,2,8,-3,3,0,-1
104,-1,6,3,180,7,6,7,8,0,2,7,2,8,-1,2,0,0
104,-1,6,3,240,7,6,8,5,-1,2,8,2,8,0,1,0,1
104,-1,6,3,300,6,7,9,6,-1,1,8,2,8,0,0,0,2
104,-1,7,9,60,6,5,8,6,-1,0,4,0,8,-4,4,0,-2
104,-1,7,9,120,7,5,6,6,-1,0,6,0,8,-2,2,0,-1
104,-1,7,9,180,7,5,9,5,-2,-2,8,0,8,0,2,0,0
104,-1,7,9,240,7,5,10,6,-2,-1,8,1,8,0,0,1,1
104,-1,7,9,300,6,5,10,5,-1,-2,9,1,8,1,1,0,2
104,-1,8,6,60,7,6,10,6,-1,-2,5,0,8,-3,5,0,-2
104,-1,8,6,120,6,5,10,5,-3,-2,7,0,8,-1,2,0,-1
104,-1,8,6,180,5,5,10,5,-2,-1,8,0,8,0,1,0,0
104,-1,8,6,240,5,4,10,4,-3,-2,10,0,8,2,2,0,1
104,-1,8,6,300,4,2,10,3,-3,-3,10,0,8,2,0,0,2
104,-1,9,8,60,6,5,5,5,-3,-2,4,0,10,-6,4,0,-2
104,-1,9,8,120,6,7,6,5,1,-2,5,1,10,-5,1,1,-1
104,-1,9,8,180,7,7,0,7,-2,-2,8,1,10,-2,3,0,0
104,-1,9,8,240,7,5,0,7,-2,-2,9,1,10,-1,1,0,1
104,-1,9,8,300,7,6,0,6,-3,-3,9,1,10,-1,0,0,2
104,-1,10,10,60,6,5,7,8,-2,-3,4,0,10,-6,4,0,-2
104,-1,10,10,120,7,6,5,7,-2,-2,5,0,10,-5,1,0,-1
104,-1,10,10,180,7,6,5,0,1,0,6,1,10,-4,1,1,0
104,-1,10,10,240,7,7,0,7,-2,-2,9,1,10,-1,3,0,1
104,-1,10,10,300,7,7,0,6,-2,-3,9,1,10,-1,0,0,2
104,-1,11,7,60,7,7,7,7,-2,-2,4,0,10,-6,4,0,-2
104,-1,11,7,120,7,7,7,7,-2,-1,5,0,10,-5,1,0,-1
104,-1,11,7,180,7,5,7,7,-2,-2,6,0,10,-4,1,0,0
104,-1,11,7,240,0,0,0,0,-4,-3,10,0,10,0,4,0,1
104,-1,11,7,300,0,0,10,4,-3,-3,10,0,10,0,0,0,2
105,1,2,7,60,2,4,4,5,-2,-3,2,2,8,6,2,2,-2
105,1,2,7,120,2,5,5,5,-2,-2,2,2,8,6,0,0,-1
105,1,2,7,180,3,5,5,5,-2,-2,3,3,8,5,1,1,0
105,1,2,7,240,3,4,5,5,-2,-1,5,4,8,4,2,1,1
105,1,2,7,300,4,3,4,4,-1,-2,5,5,8,3,0,1,2
105,1,3,2,60,4,4,4,4,-1,-2,1,3,8,5,1,3,-2
105,1,3,2,120,4,4,4,4,-2,-2,3,3,8,5,2,0,-1
105,1,3,2,180,4,4,4,4,-1,-2,3,5,8,3,0,2,0
105,1,3,2,240,4,5,5,3,-1,-3,3,6,8,2,0,1,1
105,1,3,2,300,6,5,3,4,-2,-3,3,7,8,1,0,1,2
105,1,4,3,60,4,2,3,3,-1,-4,1,2,8,6,1,2,-2
105,1,4,3,120,4,4,5,4,-1,-3,1,3,8,5,0,1,-1
105,1,4,3,180,5,5,5,5,-1,-3,3,5,8,3,2,2,0
105,1,4,3,240,4,4,4,4,-2,-3,5,5,8,3,2,0,1
105,1,4,3,300,3,3,3,3,-2,-4,5,5,8,3,0,0,2
105,1,5,4,60,1,4,2,3,-2,-4,2,0,8,8,2,0,-2
105,1,5,4,120,4,3,2,3,-2,-4,3,3,8,5,1,3,-1
105,1,5,4,180,3,2,2,3,-2,-4,3,4,8,4,0,1,0
105,1,5,4,240,3,2,4,2,-1,-4,3,4,8,4,0,0,1
105,1,5,4,300,3,4,3,4,-2,-4,5,5,8,3,2,1,2
105,1,6,6,60,3,4,2,4,-1,-4,2,2,8,6,2,2,-2
105,1,6,6,120,6,4,3,5,-1,-4,2,3,8,5,0,1,-1
105,1,6,6,180,3,5,3,5,-1,-4,4,4,8,4,2,1,0
105,1,6,6,240,4,4,4,4,-1,-4,5,4,8,4,1,0,1
105,1,6,6,300,4,4,4,4,-1,-4,5,5,8,3,0,1,2
105,1,7,11,60,1,3,1,1,-1,-4,3,0,8,8,3,0,-2
105,1,7,11,120,4,4,4,4,-1,-4,5,1,8,7,2,1,-1
105,1,7,11,180,4,4,4,4,-1,-4,6,1,8,7,1,0,0
105,1,7,11,240,4,4,4,4,-1,-4,6,1,8,7,0,0,1
105,1,7,11,300,5,3,4,2,-1,-4,7,3,8,5,1,2,2
105,1,8,1,60,3,2,3,2,-2,-4,1,1,6,5,1,1,-2
105,1,8,1,120,4,2,3,2,-2,-4,1,4,6,2,0,3,-1
105,1,8,1,180,6,4,8,3,-1,-4,1,4,6,2,0,0,0
105,1,8,1,240,9,4,7,2,-2,-4,2,6,6,0,1,2,1
105,1,8,1,300,5,6,5,4,0,-2,2,8,6,-2,0,2,2
105,1,9,9,60,5,3,2,4,-3,-4,3,0,8,8,3,0,-2
105,1,9,9,120,2,1,1,1,-4,-4,5,0,8,8,2,0,-1
105,1,9,9,180,3,4,4,4,-1,-4,5,2,8,6,0,2,0
105,1,9,9,240,3,4,4,4,-1,-4,5,3,8,5,0,1,1
105,1,9,9,300,4,3,4,5,-1,-4,6,4,8,4,1,1,2
105,1,10,10,60,2,4,5,3,0,-4,1,1,6,5,1,1,-2
105,1,10,10,120,4,3,4,4,-1,-4,1,4,6,2,0,3,-1
105,1,10,10,180,3,2,4,4,-1,-4,1,4,6,2,0,0,0
105,1,10,10,240,2,4,2,4,-1,-4,2,6,6,0,1,2,1
105,1,10,10,300,4,2,4,2,-1,-4,2,8,6,-2,0,2,2
105,1,11,8,60,1,1,2,4,-1,-4,3,0,8,8,3,0,-2
105,1,11,8,120,4,2,4,4,-1,-4,5,1,8,7,2,1,-1
105,1,11,8,180,2,5,5,5,0,-4,7,1,8,7,2,0,0
105,1,11,8,240,1,5,5,5,-1,-4,7,1,8,7,0,0,1
105,1,11,8,300,5,5,5,5,0,-4,8,2,8,6,1,1,2
106,-1,2,8,60,7,9,8,7,2,3,1,2,4,-3,1,2,-2
106,-1,2,8,120,8,10,8,7,2,2,2,3,4,-2,1,1,-1
106,-1,2,8,180,7,10,7,7,2,2,4,3,4,0,2,0,0
106,-1,2,8,240,7,10,7,7,2,2,4,4,4,0,0,1,1
106,-1,2,8,300,7,10,7,8,2,2,5,5,4,1,1,1,2
106,-1,3,11,60,7,10,7,8,2,2,4,0,4,0,4,0,-2
106,-1,3,11,120,7,10,7,8,2,2,4,1,4,0,0,1,-1
106,-1,3,11,180,7,10,7,10,2,2,5,2,4,1,1,1,0
106,-1,3,11,240,7,10,7,7,2,2,5,2,4,1,0,0,1
106,-1,3,11,300,7,7,7,7,2,2,5,5,4,1,0,3,2
106,-1,4,3,60,7,10,7,7,2,2,1,1,6,-5,1,1,-2
106,-1,4,3,120,7,7,7,7,2,2,4,1,6,-2,3,0,-1
106,-1,4,3,180,8,10,10,10,3,3,6,2,6,0,2,1,0
106,-1,4,3,240,8,10,10,10,2,3,6,3,6,0,0,1,1
106,-1,4,3,300,8,10,8,8,3,3,6,4,6,0,0,1,2
106,-1,5,9,60,8,10,8,8,2,2,3,0,6,-3,3,0,-2
106,-1,5,9,120,8,10,8,8,3,3,5,0,6,-1,2,0,-1
106,-1,5,9,180,7,7,8,8,3,3,6,1,6,0,1,1,0
106,-1,5,9,240,8,8,8,8,3,3,8,1,6,2,2,0,1
106,-1,5,9,300,8,10,8,8,3,3,8,2,6,2,0,1,2
106,-1,6,6,60,8,10,8,8,3,3,2,2,8,-6,2,2,-2
106,-1,6,6,120,7,7,7,7,3,3,2,3,8,-6,0,1,-1
106,-1,6,6,180,8,8,8,8,3,3,5,3,8,-3,3,0,0
106,-1,6,6,240,9,10,10,10,3,3,6,3,8,-2,1,0,1
